title,id,brand_normalized,ddr_type,capacity_gb,speed_mhz,price_usd,cluster,cluster_8
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000C38,33,CORSAIR,DDR5,32,6000,449.0,0,0
G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model F5-6400J3239G16GX2-TZ5RK,34,G.SKILL,DDR5,32,6400,519.99,0,1
G.SKILL Ripjaws V Series 16GB 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16S-16GVK,35,G.SKILL,DDR4,16,3200,129.99,1,2
"V-COLOR Manta XSky DDR5 32GB (2x16GB) 6000MHz CL30 SK Hynix IC RGB Gaming Desktop Memory Module Black, for AMD EXPO TMXSAL1660830KWK",36,Other,DDR5,32,6000,409.99,0,1
Patriot Viper Elite 5 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 CL30(PC5 48000) Hynix Desktop Memory Model VEB532G6030KW Compatible with AMD & Intel Gen14 Only,37,Other,DDR5,32,6000,379.99,0,0
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH32GX5M2B6400C36,38,CORSAIR,DDR5,32,6400,475.99,0,1
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000Z30,39,CORSAIR,DDR5,32,6000,565.99,0,0
CORSAIR Vengeance RGB Pro SL 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMH16GX4M2E3200C16W,40,CORSAIR,DDR4,16,3200,169.99,1,7
G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F16GX2-TZ5RK,41,G.SKILL,DDR5,32,6000,509.99,0,1
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2F6000Z36,42,CORSAIR,DDR5,32,6000,454.99,0,0
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMK32GX5M2B6400C36,43,CORSAIR,DDR5,32,6400,464.99,0,0
Patriot Viper Venom DDR5 RAM 16GB (1X16GB) 6000MT/s CL30 UDIMM Desktop Gaming Memory Module - PVV516G60C30 Compatible with AMD & Intel Gen14 Only,44,Other,DDR5,16,6000,199.99,0,5
Team Group T-CREATE EXPERT 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CTCED532G6000HC30DC01,45,Team,DDR5,32,6000,469.99,0,0
Team T-Force Delta RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model TF3D432G3200HC16FDC01,46,Team,DDR4,32,3200,259.99,1,7
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000C30,47,CORSAIR,DDR5,32,6000,565.99,0,0
G.SKILL Flare X5 16GB 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F16GX1-FX5,48,G.SKILL,DDR5,16,6000,234.99,0,5
Team T-FORCE VULCAN Z 16GB (2 x 8GB) DDR4 3200 (PC4 25600) Desktop Memory Model TLZGD416G3200HC16FDC01,49,Team,DDR4,16,3200,129.99,1,3
v-color 8GB DDR4 DRAM 3200MHz (PC4-25600) CL22 1.2V U-DIMM Desktop Memory Ram Upgrade Module TD48G32S822-VC,50,Other,DDR4,8,3200,59.99,1,2
CORSAIR Vengeance RGB Pro SL 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMH16GX4M2E3200C16,51,CORSAIR,DDR4,16,3200,169.99,1,7
CORSAIR Vengeance 96GB (2 x 48GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK96GX5M2E6000Z36,52,CORSAIR,DDR5,96,6000,1050.0,0,4
Patriot Viper Venom 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model PVV564G600C36K,53,Other,DDR5,64,6000,719.99,0,4
Crucial Pro Overclocking 32GB (2 x 16GB) DDR5 6000 (PC5 48000) Desktop Memory Model CP2K16G60C36U5W,54,Crucial,DDR5,32,6000,389.99,0,0
CORSAIR Vengeance RGB 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH16GX5M2E6000Z36,55,CORSAIR,DDR5,16,6000,289.99,0,1
