title,brand,source_url,ddr_type,capacity_gb,speed_mhz,cas_latency,num_sticks,form_factor,has_rgb,price_usd,scraped_at
CORSAIR Dominator Titanium 32GB (2 x 16GB) DDR5 6400 (PC5 51200) Desktop Memory Model CMP32GX5M2B6400C32W,CORSAIR,https://www.newegg.com/corsair-dominator-titanium-32gb-ddr5-6400-cas-latency-cl32-desktop-memory-white/p/N82E16820982091?Item=N82E16820982091,DDR5,32,6400,32,2,DIMM,False,649.99,2026-05-08T19:28:27.131488
G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3040F16GX2-RS5K,G.SKILL,https://www.newegg.com/g-skill-ripjaws-s5-series-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820374369?Item=N82E16820374369,DDR5,32,6000,-1,2,DIMM,False,599.99,2026-05-08T19:28:27.131791
Rimlance 8GB (2X4GB) 1.2V DDR4 2133MHz PC4-17000 UDIMM 1RX8,Rimlance,https://www.newegg.com/rimlance-8gb-ddr4-2133-cas-latency-cl15-memory/p/0RN-0163-000B6?Item=9SIAU3BKD83704,DDR4,8,2133,-1,2,DIMM,False,42.0,2026-05-08T19:28:27.132078
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop Memory Model CMH32GX5M2B5200C40,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-5200-cas-latency-cl40-desktop-memory-black/p/N82E16820236883?Item=N82E16820236883,DDR5,32,5200,40,2,DIMM,True,476.99,2026-05-08T19:28:27.132383
OWC 16GB Replacement for Synology D4EU02-16G - DDR4 2666 PC4-21300 CL19 2Rx8 288-pin 1.2V ECC Unbuffered DIMM Memory RAM Module Upgrade,OWC,https://www.newegg.com/owc-16gb-ddr4-2666-cas-latency-cl19-memory-standard/p/0RN-0031-001V2?Item=9SIBX68KEE7693,DDR4,16,2666,19,1,DIMM,False,157.86,2026-05-08T19:28:27.132682
A-Tech 1GB DDR2 800MHz DIMM PC2-6400 UDIMM Non-ECC 1.8V CL6 240-Pin Desktop Computer RAM Memory Upgrade Module,A-Tech,https://www.newegg.com/a-tech-1gb/p/0RN-005A-00ST5?Item=9SIAMBVK018955,unknown,1,0,-1,1,DIMM,False,14.99,2026-05-08T19:28:27.132983
Timetec Pinnacle Konduit RGB 8GB DDR4 3200MHz PC4-25600 CL16-18-18-38 1.35V Compatible for AMD and Intel Desktop Gaming PC Memory Module RAM - Black,Timetec,https://www.newegg.com/p/0RN-00A3-00198?Item=9SIA56XGRB8783,DDR4,8,3200,16,1,DIMM,True,72.99,2026-05-08T19:28:27.133293
Kingston 16GB DDR4 SDRAM Memory Module - 16 GB - DDR4-3200/PC4-25600 DDR4 SDRAM - 3200 MHz - CL22 - 1.20 V - Non-ECC - Unbuffered - 288-pin - DIMM- KCP432NS8/16,Kingston,https://www.newegg.com/kingston-technology-corp-16gb-ddr4-3200-cas-latency-cl22-memory/p/0RN-001J-00TU4?Item=9SIAE9AKVZ5247,DDR4,16,3200,22,1,DIMM,False,238.0,2026-05-08T19:28:27.133569
"KingBank Computer Desktop Memory Ram DDR5 16GB(2x8GB) 6000MHz CL36 1.35V with Heatsink for Desktop Computer High Performance Gaming, silver",KingBank,https://www.newegg.com/kingbank-16gb-ddr5-6000-cas-latency-cl36-memory-silver/p/0RN-012W-00037?Item=9SIBW2BKAA9123,DDR5,16,6000,36,2,DIMM,False,255.99,2026-05-08T19:28:27.133925
Timetec 16GB DDR4 3200MHz (PC4-3200AA) PC4-25600 UDIMM Desktop RAM  288-Pin 1.2V CL22 Non-ECC Unbuffered DIMM Memory Module Upgrade,Timetec,https://www.newegg.com/timetec-16gb-ddr4-3200-cas-latency-cl16-memory/p/0RN-00A3-00176?Item=9SIA56XGJ86580,DDR4,16,3200,22,1,DIMM,False,111.99,2026-05-08T19:28:27.134210
Kingston FURY Beast 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory (Desktop Memory) Model KF560C30BWEAK2-64,Kingston,https://www.newegg.com/kingston-technology-corp-fury-beast-64gb-ddr5-6000-cas-latency-cl30-memory-white/p/N82E16820242867?Item=N82E16820242867,DDR5,64,6000,30,2,DIMM,False,1099.99,2026-05-08T19:28:27.134538
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Desktop Memory Model CMH32GX5M2B5600Z40,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-5600-cas-latency-cl40-desktop-memory-black/p/N82E16820982111?Item=N82E16820982111,DDR5,32,5600,-1,2,DIMM,True,479.99,2026-05-08T19:28:27.134869
G.SKILL Ripjaws M5 RGB Series 96GB (2 x 48GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Desktop Memory Model F5-5600J4040D48GX2-RM5RW,G.SKILL,https://www.newegg.com/g-skill-ripjaws-m5-rgb-series-96gb-ddr5-5600-cas-latency-cl40-desktop-memory-white/p/N82E16820374549?Item=N82E16820374549,DDR5,96,5600,-1,2,DIMM,True,1299.99,2026-05-08T19:28:27.135197
G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 5600 Desktop Memory Model F5-5600J3636C16GX2-TZ5RK,G.SKILL,https://www.newegg.com/g-skill-trident-z5-rgb-series-32gb-ddr5-5600-cas-latency-cl36-desktop-memory-black/p/N82E16820374347?Item=N82E16820374347,DDR5,32,5600,16,2,DIMM,True,505.99,2026-05-08T19:28:27.135519
CORSAIR Dominator Platinum RGB 64GB (2 x 32GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop Memory Model CMT64GX5M2B5200C40,CORSAIR,https://www.newegg.com/corsair-dominator-platinum-rgb-64gb-ddr5-5200-cas-latency-cl40-desktop-memory-black/p/N82E16820236840?Item=N82E16820236840,DDR5,64,5200,40,2,DIMM,True,969.99,2026-05-08T19:28:27.135846
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH32GX5M2B6400C32W,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6400-cas-latency-cl32-desktop-memory-white/p/N82E16820982034?Item=N82E16820982034,DDR5,32,6400,32,2,DIMM,True,607.99,2026-05-08T19:28:27.136153
Crucial 4GB DDR3 1600 (PC3 12800) Desktop Memory Model CT51264BA160B,Crucial,https://www.newegg.com/crucial-4gb-ddr3-1600-cas-latency-cl11-desktop-memory/p/N82E16820148672?Item=9SIAMBVK926446,DDR3,4,1600,-1,1,DIMM,False,16.43,2026-05-08T19:28:27.136464
G.SKILL Ripjaws X Series 4GB (2 x 2GB) DDR3 1600 (PC3 12800) Desktop Memory Model F3-12800CL9D-4GBXL,G.SKILL,https://www.newegg.com/g-skill-ripjaws-x-series-4gb-ddr3-1600-cas-latency-cl9-desktop-memory-red/p/N82E16820231427?Item=9SIA4YU2AB9549,DDR3,4,1600,-1,2,DIMM,False,28.76,2026-05-08T19:28:27.136798
Kingston 16GB DDR5 SDRAM Memory Module - For Desktop PC - 16 GB - DDR5-5600/PC5-44800 DDR5 SDRAM - 5600 MHz Single-rank Memory - CL46 - 1.10 V - Non-ECC - Unbuffered - 288-pin - DIMM- KCP556US8-16,Kingston,https://www.newegg.com/kingston-technology-corp-16gb-ddr5-5600-cas-latency-cl46-memory/p/0RM-001W-006B5?Item=9SIAET8KUH7938,DDR5,16,5600,46,1,DIMM,False,299.01,2026-05-08T19:28:27.137096
Samsung 16GB (1x16GB) DDR5 5600MHz High-Performance Gaming RAM PC5-44800 UDIMM Unbuffered Non-ECC 1Rx8 CL46 1.1v For Gamers and Power Users Desktop PC Computer Memory Upgrade M323R2GA3DB0-CWM Adamanta,Samsung,https://www.newegg.com/p/3C6-0008-00128?Item=9SIAFYRKMA0239,DDR5,16,5600,46,1,DIMM,False,249.99,2026-05-08T19:28:27.137377
